Pokemon,Typing,Abilities,HP,Attack,Defense,SpA,SpD,Spe
Dragonite,Dragon/Flying,,91,134,95,100,100,80
Dratini,Dragon,,41,64,45,50,50,50
Drowzee,Psychic,,60,48,45,43,90,42
Dugtrio,Ground,,35,80,50,50,70,120
Dunsparce,Normal,,100,70,70,65,65,45
Eevee,Normal,,55,55,50,45,65,55
Ekans,Poison,,35,60,44,40,54,55
Electabuzz,Electric,,65,83,57,95,85,105
Electrode,Electric,,60,50,70,80,80,140
Elekid,Electric,,45,63,37,65,55,95
Entei,Fire,,115,115,85,90,75,100
Espeon,Psychic,,65,65,60,130,95,110
Exeggcute,Grass/Psychic,,60,40,80,60,45,40
Exeggutor,Grass/Psychic,,95,95,85,125,65,55
Farfetch'd,Normal/Flying,,52,65,55,58,62,60
Fearow,Normal/Flying,,65,90,65,61,61,100
Feraligatr,Water,,85,105,100,79,83,78
Flaaffy,Electric,,70,55,55,80,60,45
Flareon,Fire,,65,130,60,95,110,65
Forretress,Bug/Steel,,75,90,140,60,60,40
Furret,Normal,,85,76,64,45,55,90
Gastly,Ghost/Poison,,30,35,30,100,35,80
Gengar,Ghost/Poison,,60,65,60,130,75,110
Geodude,Rock/Ground,,40,80,100,30,30,20
Girafarig,Normal/Psychic,,70,80,65,90,65,85
Gligar,Ground/Flying,,65,75,105,35,65,85
Gloom,Grass/Poison,,60,65,70,85,75,40
Golbat,Poison/Flying,,75,80,70,65,75,90
Goldeen,Water,,45,67,60,35,50,63
Golduck,Water,,80,82,78,95,80,85
Golem,Rock/Ground,,80,110,130,55,65,45
Granbull,Normal,,90,120,75,60,60,45
Graveler,Rock/Ground,,55,95,115,45,45,35
Grimer,Poison,,80,80,50,40,50,25
Growlithe,Fire,,55,70,45,70,50,60
Gyarados,Water/Flying,,95,125,79,60,100,81
Haunter,Ghost/Poison,,45,50,45,115,55,95
Heracross,Bug/Fighting,,80,125,75,40,95,85
Hitmonchan,Fighting,,50,105,79,35,110,76
Hitmonlee,Fighting,,50,120,53,35,110,87
Hitmontop,Fighting,,50,95,95,35,110,70
Ho-Oh,Fire/Flying,,106,130,90,110,154,90
Hoothoot,Normal/Flying,,60,30,30,36,56,50
Hoppip,Grass/Flying,,35,35,40,35,55,50
Horsea,Water,,30,40,70,70,25,60
Houndoom,Dark/Fire,,75,90,50,110,80,95
Houndour,Dark/Fire,,45,60,30,80,50,65
Hypno,Psychic,,85,73,70,73,115,67
Igglybuff,Normal,,90,30,15,40,20,15
Ivysaur,Grass/Poison,,60,62,63,80,80,60
Jigglypuff,Normal,,115,45,20,45,25,20
Jolteon,Electric,,65,65,60,110,95,130
Jumpluff,Grass/Flying,,75,55,70,55,85,110
Jynx,Ice/Psychic,,65,50,35,115,95,95
Kabuto,Rock/Water,,30,80,90,55,45,55
Kabutops,Rock/Water,,60,115,105,65,70,80
Kadabra,Psychic,,40,35,30,120,70,105
Kakuna,Bug/Poison,,45,25,50,25,25,35
Kangaskhan,Normal,,105,95,80,40,80,90
Kingdra,Water/Dragon,,75,95,95,95,95,85
Kingler,Water,,55,130,115,50,50,75
Koffing,Poison,,40,65,95,60,45,35
Krabby,Water,,30,105,90,25,25,50
Lanturn,Water/Electric,,125,58,58,76,76,67
Lapras,Water/Ice,,130,85,80,85,95,60
Larvitar,Rock/Ground,,50,64,50,45,50,41
Ledian,Bug/Flying,,55,35,50,55,110,85
Ledyba,Bug/Flying,,40,20,30,40,80,55
Lickitung,Normal,,90,55,75,60,75,30
Lugia,Psychic/Flying,,106,90,130,90,154,110
Machamp,Fighting,,90,130,80,65,85,55
Machoke,Fighting,,80,100,70,50,60,45
Machop,Fighting,,70,80,50,35,35,35
Magby,Fire,,45,75,37,70,55,83
Magcargo,Fire/Rock,,50,50,120,80,80,30
Magikarp,Water,,20,10,55,15,20,80
Magmar,Fire,,65,95,57,100,85,93
Magnemite,Electric/Steel,,25,35,70,95,55,45
Magneton,Electric/Steel,,50,60,95,120,70,70
Mankey,Fighting,,40,80,35,35,45,70
Mantine,Water/Flying,,65,40,70,80,140,70
Mareep,Electric,,55,40,40,65,45,35
Marill,Water,,70,20,50,20,50,40
Marowak,Ground,,60,80,110,50,80,45
Meganium,Grass,,80,82,100,83,100,80
Meowth,Normal,,40,45,35,40,40,90
Metapod,Bug,,50,20,55,25,25,30
Mew,Psychic,,100,100,100,100,100,100
Mewtwo,Psychic,,106,110,90,154,90,130
Miltank,Normal,,95,80,105,40,70,100
Misdreavus,Ghost,,60,60,60,85,85,85
Moltres,Fire/Flying,,90,100,90,125,85,90
Mr. Mime,Psychic,,40,45,65,100,120,90
Muk,Poison,,105,105,75,65,100,50
Murkrow,Dark/Flying,,60,85,42,85,42,91
Natu,Psychic/Flying,,40,50,45,70,45,70
Nidoking,Poison/Ground,,81,92,77,85,75,85
Nidoqueen,Poison/Ground,,90,82,87,75,85,76
Nidoran-F,Poison,,55,47,52,40,40,41
Nidoran-M,Poison,,46,57,40,40,40,50
Nidorina,Poison,,70,62,67,55,55,56
Nidorino,Poison,,61,72,57,55,55,65
Ninetales,Fire,,73,76,75,81,100,100
Noctowl,Normal/Flying,,100,50,50,76,96,70
Octillery,Water,,75,105,75,105,75,45
Oddish,Grass/Poison,,45,50,55,75,65,30
Omanyte,Rock/Water,,35,40,100,90,55,35
Omastar,Rock/Water,,70,60,125,115,70,55
Onix,Rock/Ground,,35,45,160,30,45,70
Paras,Bug/Grass,,35,70,55,45,55,25
Parasect,Bug/Grass,,60,95,80,60,80,30
Persian,Normal,,65,70,60,65,65,115
Phanpy,Ground,,90,60,60,40,40,40
Pichu,Electric,,20,40,15,35,35,60
Pidgeot,Normal/Flying,,83,80,75,70,70,91
Pidgeotto,Normal/Flying,,63,60,55,50,50,71
Pidgey,Normal/Flying,,40,45,40,35,35,56
Pikachu,Electric,,35,55,30,50,40,90
Piloswine,Ice/Ground,,100,100,80,60,60,50
Pineco,Bug,,50,65,90,35,35,15
Pinsir,Bug,,65,125,100,55,70,85
Politoed,Water,,90,75,75,90,100,70
Poliwag,Water,,40,50,40,40,40,90
Poliwhirl,Water,,65,65,65,50,50,90
Poliwrath,Water/Fighting,,90,85,95,70,90,70
Ponyta,Fire,,50,85,55,65,65,90
Porygon,Normal,,65,60,70,85,75,40
Porygon2,Normal,,85,80,90,105,95,60
Primeape,Fighting,,65,105,60,60,70,95
Psyduck,Water,,50,52,48,65,50,55
Pupitar,Rock/Ground,,70,84,70,65,70,51
Quagsire,Water/Ground,,95,85,85,65,65,35
Quilava,Fire,,58,64,58,80,65,80
Qwilfish,Water/Poison,,65,95,75,55,55,85
Raichu,Electric,,60,90,55,90,80,100
Raikou,Electric,,90,85,75,115,100,115
Rapidash,Fire,,65,100,70,80,80,105
Raticate,Normal,,55,81,60,50,70,97
Rattata,Normal,,30,56,35,25,35,72
Remoraid,Water,,35,65,35,65,35,65
Rhydon,Ground/Rock,,105,130,120,45,45,40
Rhyhorn,Ground/Rock,,80,85,95,30,30,25
Sandshrew,Ground,,50,75,85,20,30,40
Sandslash,Ground,,75,100,110,45,55,65
Scizor,Bug/Steel,,70,130,100,55,80,65
Scyther,Bug/Flying,,70,110,80,55,80,105
Seadra,Water,,55,65,95,95,45,85
Seaking,Water,,80,92,65,65,80,68
Seel,Water,,65,45,55,45,70,45
Sentret,Normal,,35,46,34,35,45,20
Shellder,Water,,30,65,100,45,25,40
Shuckle,Bug/Rock,,20,10,230,10,230,5
Skarmory,Steel/Flying,,65,80,140,40,70,70
Skiploom,Grass/Flying,,55,45,50,45,65,80
Slowbro,Water/Psychic,,95,75,110,100,80,30
Slowking,Water/Psychic,,95,75,80,100,110,30
Slowpoke,Water/Psychic,,90,65,65,40,40,15
Slugma,Fire,,40,40,40,70,40,20
Smeargle,Normal,,55,20,35,20,45,75
Smoochum,Ice/Psychic,,45,30,15,85,65,65
Sneasel,Dark/Ice,,55,95,55,35,75,115
Snorlax,Normal,,160,110,65,65,110,30
Snubbull,Normal,,60,80,50,40,40,30
Spearow,Normal/Flying,,40,60,30,31,31,70
Spinarak,Bug/Poison,,40,60,40,40,40,30
Squirtle,Water,,44,48,65,50,64,43
Stantler,Normal,,73,95,62,85,65,85
Starmie,Water/Psychic,,60,75,85,100,85,115
Staryu,Water,,30,45,55,70,55,85
Steelix,Steel/Ground,,75,85,200,55,65,30
Sudowoodo,Rock,,70,100,115,30,65,30
Suicune,Water,,100,75,115,90,115,85
Sunflora,Grass,,75,75,55,105,85,30
Sunkern,Grass,,30,30,30,30,30,30
Swinub,Ice/Ground,,50,50,40,30,30,50
Tangela,Grass,,65,55,115,100,40,60
Tauros,Normal,,75,100,95,40,70,110
Teddiursa,Normal,,60,80,50,50,50,40
Tentacool,Water/Poison,,40,40,35,50,100,70
Tentacruel,Water/Poison,,80,70,65,80,120,100
Togepi,Normal,,35,20,65,40,65,20
Togetic,Normal/Flying,,55,40,85,80,105,40
Totodile,Water,,50,65,64,44,48,43
Typhlosion,Fire,,78,84,78,109,85,100
Tyranitar,Rock/Dark,,100,134,110,95,100,61
Tyrogue,Fighting,,35,35,35,35,35,35
Umbreon,Dark,,95,65,110,60,130,65
Unown,Psychic,,48,72,48,72,48,48
Ursaring,Normal,,90,130,75,75,75,55
Vaporeon,Water,,130,65,60,110,95,65
Venomoth,Bug/Poison,,70,65,60,90,75,90
Venonat,Bug/Poison,,60,55,50,40,55,45
Venusaur,Grass/Poison,,80,82,83,100,100,80
Victreebel,Grass/Poison,,80,105,65,100,60,70
Vileplume,Grass/Poison,,75,80,85,100,90,50
Voltorb,Electric,,40,30,50,55,55,100
Vulpix,Fire,,38,41,40,50,65,65
Wartortle,Water,,59,63,80,65,80,58
Weedle,Bug/Poison,,40,35,30,20,20,50
Weepinbell,Grass/Poison,,65,90,50,85,45,55
Weezing,Poison,,65,90,120,85,70,60
Wigglytuff,Normal,,140,70,45,75,50,45
Wobbuffet,Psychic,,190,33,58,33,58,33
Wooper,Water/Ground,,55,45,45,25,25,15
Xatu,Psychic/Flying,,65,75,70,95,70,95
Yanma,Bug/Flying,,65,65,45,75,45,95
Zapdos,Electric/Flying,,90,90,85,125,90,100
Zubat,Poison/Flying,,40,45,35,30,40,55
