Pokemon,Typing,Abilities,HP,Attack,Defense,SpA,SpD,Spe
Poliwrath,Water/Fighting,,90,85,95,70,70,70
Ponyta,Fire,,50,85,55,65,65,90
Porygon,Normal,,65,60,70,75,75,40
Primeape,Fighting,,65,105,60,60,60,95
Psyduck,Water,,50,52,48,50,50,55
Raichu,Electric,,60,90,55,90,90,100
Rapidash,Fire,,65,100,70,80,80,105
Raticate,Normal,,55,81,60,50,50,97
Rattata,Normal,,30,56,35,25,25,72
Rhydon,Ground/Rock,,105,130,120,45,45,40
Rhyhorn,Ground/Rock,,80,85,95,30,30,25
Sandshrew,Ground,,50,75,85,30,30,40
Sandslash,Ground,,75,100,110,55,55,65
Scyther,Bug/Flying,,70,110,80,55,55,105
Seadra,Water,,55,65,95,95,95,85
Seaking,Water,,80,92,65,80,80,68
Seel,Water,,65,45,55,70,70,45
Shellder,Water,,30,65,100,45,45,40
Slowbro,Water/Psychic,,95,75,110,80,80,30
Slowpoke,Water/Psychic,,90,65,65,40,40,15
Snorlax,Normal,,160,110,65,65,65,30
Spearow,Normal/Flying,,40,60,30,31,31,70
Squirtle,Water,,44,48,65,50,50,43
Starmie,Water/Psychic,,60,75,85,100,100,115
Staryu,Water,,30,45,55,70,70,85
Tangela,Grass,,65,55,115,100,100,60
Tauros,Normal,,75,100,95,70,70,110
Tentacool,Water/Poison,,40,40,35,100,100,70
Tentacruel,Water/Poison,,80,70,65,120,120,100
Vaporeon,Water,,130,65,60,110,110,65
Venomoth,Bug/Poison,,70,65,60,90,90,90
Venonat,Bug/Poison,,60,55,50,40,40,45
Venusaur,Grass/Poison,,80,82,83,100,100,80
Victreebel,Grass/Poison,,80,105,65,100,100,70
Vileplume,Grass/Poison,,75,80,85,100,100,50
Voltorb,Electric,,40,30,50,55,55,100
Vulpix,Fire,,38,41,40,65,65,65
Wartortle,Water,,59,63,80,65,65,58
Weedle,Bug/Poison,,40,35,30,20,20,50
Weepinbell,Grass/Poison,,65,90,50,85,85,55
Weezing,Poison,,65,90,120,85,85,60
Wigglytuff,Normal,,140,70,45,50,50,45
Zapdos,Electric/Flying,,90,90,85,125,125,100
Zubat,Poison/Flying,,40,45,35,40,40,55
