Pokemon,Typing,Abilities,HP,Attack,Defense,SpA,SpD,Spe
Empoleon,Water/Steel,Torrent,84,86,88,111,101,60
Entei,Fire,Pressure,115,115,85,90,75,100
Espeon,Psychic,Synchronize,65,65,60,130,95,110
Exeggcute,Grass/Psychic,Chlorophyll,60,40,80,60,45,40
Exeggutor,Grass/Psychic,Chlorophyll,95,95,85,125,65,55
Exploud,Normal,Soundproof,104,91,63,91,63,68
Farfetch'd,Normal/Flying,"Inner Focus, Keen Eye",52,65,55,58,62,60
Fearow,Normal/Flying,Keen Eye,65,90,65,61,61,100
Feebas,Water,Swift Swim,20,15,20,10,55,80
Feraligatr,Water,Torrent,85,105,100,79,83,78
Finneon,Water,"Storm Drain, Swift Swim",49,49,56,49,61,66
Flaaffy,Electric,Static,70,55,55,80,60,45
Flareon,Fire,Flash Fire,65,130,60,95,110,65
Floatzel,Water,Swift Swim,85,105,55,85,50,115
Flygon,Ground/Dragon,Levitate,80,100,80,80,80,100
Forretress,Bug/Steel,Sturdy,75,90,140,60,60,40
Froslass,Ice/Ghost,Snow Cloak,70,80,70,80,70,110
Furret,Normal,"Keen Eye, Run Away",85,76,64,45,55,90
Gabite,Dragon/Ground,Sand Veil,68,90,65,50,55,82
Gallade,Psychic/Fighting,Steadfast,68,125,65,65,115,80
Garchomp,Dragon/Ground,Sand Veil,108,130,95,80,85,102
Gardevoir,Psychic,"Synchronize, Trace",68,65,65,125,115,80
Gastly,Ghost/Poison,Levitate,30,35,30,100,35,80
Gastrodon,Water/Ground,"Sticky Hold, Storm Drain",111,83,68,92,82,39
Gengar,Ghost/Poison,Levitate,60,65,60,130,75,110
Geodude,Rock/Ground,"Rock Head, Sturdy",40,80,100,30,30,20
Gible,Dragon/Ground,Sand Veil,58,70,45,40,45,42
Girafarig,Normal/Psychic,"Early Bird, Inner Focus",70,80,65,90,65,85
Giratina,Ghost/Dragon,Pressure,150,100,120,100,120,90
Giratina-Origin,Ghost/Dragon,Levitate,150,120,100,120,100,90
Glaceon,Ice,Snow Cloak,65,60,110,130,95,65
Glalie,Ice,"Ice Body, Inner Focus",80,80,80,80,80,80
Glameow,Normal,"Keen Eye, Limber, Own Tempo",49,55,42,42,37,85
Gligar,Ground/Flying,"Hyper Cutter, Sand Veil",65,75,105,35,65,85
Gliscor,Ground/Flying,"Hyper Cutter, Sand Veil",75,95,125,45,75,95
Gloom,Grass/Poison,Chlorophyll,60,65,70,85,75,40
Golbat,Poison/Flying,Inner Focus,75,80,70,65,75,90
Goldeen,Water,"Swift Swim, Water Veil",45,67,60,35,50,63
Golduck,Water,"Cloud Nine, Damp",80,82,78,95,80,85
Golem,Rock/Ground,"Rock Head, Sturdy",80,110,130,55,65,45
Gorebyss,Water,Swift Swim,55,84,105,114,75,52
Granbull,Normal,"Intimidate, Quick Feet",90,120,75,60,60,45
Graveler,Rock/Ground,"Rock Head, Sturdy",55,95,115,45,45,35
Grimer,Poison,"Stench, Sticky Hold",80,80,50,40,50,25
Grotle,Grass,Overgrow,75,89,85,55,65,36
Groudon,Ground,Drought,100,150,140,100,90,90
Grovyle,Grass,Overgrow,50,65,45,85,65,95
Growlithe,Fire,"Flash Fire, Intimidate",55,70,45,70,50,60
Grumpig,Psychic,"Own Tempo, Thick Fat",80,45,65,90,110,80
Gulpin,Poison,"Liquid Ooze, Sticky Hold",70,43,53,43,53,40
Gyarados,Water/Flying,Intimidate,95,125,79,60,100,81
Happiny,Normal,"Natural Cure, Serene Grace",100,5,5,15,65,30
Hariyama,Fighting,"Guts, Thick Fat",144,120,60,40,60,50
Haunter,Ghost/Poison,Levitate,45,50,45,115,55,95
Heatran,Fire/Steel,Flash Fire,91,90,106,130,106,77
Heracross,Bug/Fighting,"Guts, Swarm",80,125,75,40,95,85
Hippopotas,Ground,Sand Stream,68,72,78,38,42,32
Hippowdon,Ground,Sand Stream,108,112,118,68,72,47
Hitmonchan,Fighting,"Iron Fist, Keen Eye",50,105,79,35,110,76
Hitmonlee,Fighting,"Limber, Reckless",50,120,53,35,110,87
Hitmontop,Fighting,"Intimidate, Technician",50,95,95,35,110,70
Ho-Oh,Fire/Flying,Pressure,106,130,90,110,154,90
Honchkrow,Dark/Flying,"Insomnia, Super Luck",100,125,52,105,52,71
Hoothoot,Normal/Flying,"Insomnia, Keen Eye",60,30,30,36,56,50
Hoppip,Grass/Flying,"Chlorophyll, Leaf Guard",35,35,40,35,55,50
Horsea,Water,"Sniper, Swift Swim",30,40,70,70,25,60
Houndoom,Dark/Fire,"Early Bird, Flash Fire",75,90,50,110,80,95
Houndour,Dark/Fire,"Early Bird, Flash Fire",45,60,30,80,50,65
Huntail,Water,Swift Swim,55,104,105,94,75,52
Hypno,Psychic,"Forewarn, Insomnia",85,73,70,73,115,67
Igglybuff,Normal,Cute Charm,90,30,15,40,20,15
Illumise,Bug,"Oblivious, Tinted Lens",65,47,55,73,75,85
Infernape,Fire/Fighting,Blaze,76,104,71,104,71,108
Ivysaur,Grass/Poison,Overgrow,60,62,63,80,80,60
Jigglypuff,Normal,Cute Charm,115,45,20,45,25,20
Jirachi,Steel/Psychic,Serene Grace,100,100,100,100,100,100
Jolteon,Electric,Volt Absorb,65,65,60,110,95,130
Jumpluff,Grass/Flying,"Chlorophyll, Leaf Guard",75,55,70,55,85,110
Jynx,Ice/Psychic,"Forewarn, Oblivious",65,50,35,115,95,95
Kabuto,Rock/Water,"Battle Armor, Swift Swim",30,80,90,55,45,55
Kabutops,Rock/Water,"Battle Armor, Swift Swim",60,115,105,65,70,80
Kadabra,Psychic,"Inner Focus, Synchronize",40,35,30,120,70,105
Kakuna,Bug/Poison,Shed Skin,45,25,50,25,25,35
Kangaskhan,Normal,"Early Bird, Scrappy",105,95,80,40,80,90
Kecleon,Normal,Color Change,60,90,70,60,120,40
Kingdra,Water/Dragon,"Sniper, Swift Swim",75,95,95,95,95,85
Kingler,Water,"Hyper Cutter, Shell Armor",55,130,115,50,50,75
Kirlia,Psychic,"Synchronize, Trace",38,35,35,65,55,50
Koffing,Poison,Levitate,40,65,95,60,45,35
Krabby,Water,"Hyper Cutter, Shell Armor",30,105,90,25,25,50
Kricketot,Bug,Shed Skin,37,25,41,25,41,25
Kricketune,Bug,Swarm,77,85,51,55,51,65
Kyogre,Water,Drizzle,100,100,90,150,140,90
Lairon,Steel/Rock,"Rock Head, Sturdy",60,90,140,50,50,40
Lanturn,Water/Electric,"Illuminate, Volt Absorb",125,58,58,76,76,67
Lapras,Water/Ice,"Shell Armor, Water Absorb",130,85,80,85,95,60
Larvitar,Rock/Ground,Guts,50,64,50,45,50,41
Latias,Dragon/Psychic,Levitate,80,80,90,110,130,110
Latios,Dragon/Psychic,Levitate,80,90,80,130,110,110
Leafeon,Grass,Leaf Guard,65,110,130,60,65,95
Ledian,Bug/Flying,"Early Bird, Swarm",55,35,50,55,110,85
Ledyba,Bug/Flying,"Early Bird, Swarm",40,20,30,40,80,55
Lickilicky,Normal,"Oblivious, Own Tempo",110,85,95,80,95,50
Lickitung,Normal,"Oblivious, Own Tempo",90,55,75,60,75,30
Lileep,Rock/Grass,Suction Cups,66,41,77,61,87,23
Linoone,Normal,"Gluttony, Pickup",78,70,61,50,61,100
Lombre,Water/Grass,"Rain Dish, Swift Swim",60,50,50,60,70,50
Lopunny,Normal,"Cute Charm, Klutz",65,76,84,54,96,105
Lotad,Water/Grass,"Rain Dish, Swift Swim",40,30,30,40,50,30
Loudred,Normal,Soundproof,84,71,43,71,43,48
Lucario,Fighting/Steel,"Inner Focus, Steadfast",70,110,70,115,70,90
Ludicolo,Water/Grass,"Rain Dish, Swift Swim",80,70,70,90,100,70
Lugia,Psychic/Flying,Pressure,106,90,130,90,154,110
Lumineon,Water,"Storm Drain, Swift Swim",69,69,76,69,86,91
Lunatone,Rock/Psychic,Levitate,70,55,65,95,85,70
Luvdisc,Water,Swift Swim,43,30,55,40,65,97
Luxio,Electric,"Intimidate, Rivalry",60,85,49,60,49,60
Luxray,Electric,"Intimidate, Rivalry",80,120,79,95,79,70
Machamp,Fighting,"Guts, No Guard",90,130,80,65,85,55
Machoke,Fighting,"Guts, No Guard",80,100,70,50,60,45
Machop,Fighting,"Guts, No Guard",70,80,50,35,35,35
Magby,Fire,Flame Body,45,75,37,70,55,83
Magcargo,Fire/Rock,"Flame Body, Magma Armor",50,50,120,80,80,30
Magikarp,Water,Swift Swim,20,10,55,15,20,80
Magmar,Fire,Flame Body,65,95,57,100,85,93
Magmortar,Fire,Flame Body,75,95,67,125,95,83
Magnemite,Electric/Steel,"Magnet Pull, Sturdy",25,35,70,95,55,45
Magneton,Electric/Steel,"Magnet Pull, Sturdy",50,60,95,120,70,70
Magnezone,Electric/Steel,"Magnet Pull, Sturdy",70,70,115,130,90,60
Makuhita,Fighting,"Guts, Thick Fat",72,60,30,20,30,25
Mamoswine,Ice/Ground,"Oblivious, Snow Cloak",110,130,80,70,60,80
Manaphy,Water,Hydration,100,100,100,100,100,100
Manectric,Electric,"Lightning Rod, Static",70,75,60,105,60,105
Mankey,Fighting,"Anger Point, Vital Spirit",40,80,35,35,45,70
Mantine,Water/Flying,"Swift Swim, Water Absorb",65,40,70,80,140,70
Mantyke,Water/Flying,"Swift Swim, Water Absorb",45,20,50,60,120,50
Mareep,Electric,Static,55,40,40,65,45,35
Marill,Water,"Huge Power, Thick Fat",70,20,50,20,50,40
Marowak,Ground,"Lightning Rod, Rock Head",60,80,110,50,80,45
Marshtomp,Water/Ground,Torrent,70,85,70,60,70,50
Masquerain,Bug/Flying,Intimidate,70,60,62,80,82,60
Mawile,Steel,"Hyper Cutter, Intimidate",50,85,85,55,55,50
Medicham,Fighting/Psychic,Pure Power,60,60,75,60,75,80
Meditite,Fighting/Psychic,Pure Power,30,40,55,40,55,60
Meganium,Grass,Overgrow,80,82,100,83,100,80
Meowth,Normal,"Pickup, Technician",40,45,35,40,40,90
Mesprit,Psychic,Levitate,80,105,105,105,105,80
Metagross,Steel/Psychic,Clear Body,80,135,130,95,90,70
Metang,Steel/Psychic,Clear Body,60,75,100,55,80,50
Metapod,Bug,Shed Skin,50,20,55,25,25,30
Mew,Psychic,Synchronize,100,100,100,100,100,100
Mewtwo,Psychic,Pressure,106,110,90,154,90,130
Mightyena,Dark,"Intimidate, Quick Feet",70,90,70,60,60,70
Milotic,Water,Marvel Scale,95,60,79,100,125,81
Miltank,Normal,"Scrappy, Thick Fat",95,80,105,40,70,100
Mime Jr.,Psychic,"Filter, Soundproof",20,25,45,70,90,60
Minun,Electric,Minus,60,40,50,75,85,95
Misdreavus,Ghost,Levitate,60,60,60,85,85,85
Mismagius,Ghost,Levitate,60,60,60,105,105,105
Moltres,Fire/Flying,Pressure,90,100,90,125,85,90
Monferno,Fire/Fighting,Blaze,64,78,52,78,52,81
Mothim,Bug/Flying,Swarm,70,94,50,94,50,66
Mr. Mime,Psychic,"Filter, Soundproof",40,45,65,100,120,90
Mudkip,Water,Torrent,50,70,50,50,50,40
Muk,Poison,"Stench, Sticky Hold",105,105,75,65,100,50
Munchlax,Normal,"Pickup, Thick Fat",135,85,40,40,85,5
Murkrow,Dark/Flying,"Insomnia, Super Luck",60,85,42,85,42,91
Natu,Psychic/Flying,"Early Bird, Synchronize",40,50,45,70,45,70
Nidoking,Poison/Ground,"Poison Point, Rivalry",81,92,77,85,75,85
Nidoqueen,Poison/Ground,"Poison Point, Rivalry",90,82,87,75,85,76
Nidoran-F,Poison,"Poison Point, Rivalry",55,47,52,40,40,41
Nidoran-M,Poison,"Poison Point, Rivalry",46,57,40,40,40,50
Nidorina,Poison,"Poison Point, Rivalry",70,62,67,55,55,56
Nidorino,Poison,"Poison Point, Rivalry",61,72,57,55,55,65
Nincada,Bug/Ground,Compound Eyes,31,45,90,30,30,40
Ninetales,Fire,Flash Fire,73,76,75,81,100,100
Ninjask,Bug/Flying,Speed Boost,61,90,45,50,50,160
Noctowl,Normal/Flying,"Insomnia, Keen Eye",100,50,50,76,96,70
Nosepass,Rock,"Magnet Pull, Sturdy",30,45,135,45,90,30
Numel,Fire/Ground,"Oblivious, Simple",60,60,40,65,45,35
Nuzleaf,Grass/Dark,"Chlorophyll, Early Bird",70,70,40,60,40,60
Octillery,Water,"Sniper, Suction Cups",75,105,75,105,75,45
Oddish,Grass/Poison,Chlorophyll,45,50,55,75,65,30
Omanyte,Rock/Water,"Shell Armor, Swift Swim",35,40,100,90,55,35
Omastar,Rock/Water,"Shell Armor, Swift Swim",70,60,125,115,70,55
Onix,Rock/Ground,"Rock Head, Sturdy",35,45,160,30,45,70
Pachirisu,Electric,"Pickup, Run Away",60,45,70,45,90,95
Palkia,Water/Dragon,Pressure,90,120,100,150,120,100
Paras,Bug/Grass,"Dry Skin, Effect Spore",35,70,55,45,55,25
Parasect,Bug/Grass,"Dry Skin, Effect Spore",60,95,80,60,80,30
Pelipper,Water/Flying,Keen Eye,60,50,100,85,70,65
Persian,Normal,"Limber, Technician",65,70,60,65,65,115
Phanpy,Ground,Pickup,90,60,60,40,40,40
Phione,Water,Hydration,80,80,80,80,80,80
Pichu,Electric,Static,20,40,15,35,35,60
Pidgeot,Normal/Flying,"Keen Eye, Tangled Feet",83,80,75,70,70,91
Pidgeotto,Normal/Flying,"Keen Eye, Tangled Feet",63,60,55,50,50,71
Pidgey,Normal/Flying,"Keen Eye, Tangled Feet",40,45,40,35,35,56
Pikachu,Electric,Static,35,55,30,50,40,90
Piloswine,Ice/Ground,"Oblivious, Snow Cloak",100,100,80,60,60,50
Pineco,Bug,Sturdy,50,65,90,35,35,15
Pinsir,Bug,"Hyper Cutter, Mold Breaker",65,125,100,55,70,85
Piplup,Water,Torrent,53,51,53,61,56,40
Plusle,Electric,Plus,60,50,40,85,75,95
Politoed,Water,"Damp, Water Absorb",90,75,75,90,100,70
Poliwag,Water,"Damp, Water Absorb",40,50,40,40,40,90
Poliwhirl,Water,"Damp, Water Absorb",65,65,65,50,50,90
Poliwrath,Water/Fighting,"Damp, Water Absorb",90,85,95,70,90,70
Ponyta,Fire,"Flash Fire, Run Away",50,85,55,65,65,90
Poochyena,Dark,"Quick Feet, Run Away",35,55,35,30,30,35
Porygon,Normal,"Download, Trace",65,60,70,85,75,40
Porygon-Z,Normal,"Adaptability, Download",85,80,70,135,75,90
Porygon2,Normal,"Download, Trace",85,80,90,105,95,60
Primeape,Fighting,"Anger Point, Vital Spirit",65,105,60,60,70,95
Prinplup,Water,Torrent,64,66,68,81,76,50
Probopass,Rock/Steel,"Magnet Pull, Sturdy",60,55,145,75,150,40
Psyduck,Water,"Cloud Nine, Damp",50,52,48,65,50,55
Pupitar,Rock/Ground,Shed Skin,70,84,70,65,70,51
Purugly,Normal,"Own Tempo, Thick Fat",71,82,64,64,59,112
Quagsire,Water/Ground,"Damp, Water Absorb",95,85,85,65,65,35
Quilava,Fire,Blaze,58,64,58,80,65,80
Qwilfish,Water/Poison,"Poison Point, Swift Swim",65,95,75,55,55,85
Raichu,Electric,Static,60,90,55,90,80,100
Raikou,Electric,Pressure,90,85,75,115,100,115
Ralts,Psychic,"Synchronize, Trace",28,25,25,45,35,40
Rampardos,Rock,Mold Breaker,97,165,60,65,50,58
Rapidash,Fire,"Flash Fire, Run Away",65,100,70,80,80,105
Raticate,Normal,"Guts, Run Away",55,81,60,50,70,97
Rattata,Normal,"Guts, Run Away",30,56,35,25,35,72
Rayquaza,Dragon/Flying,Air Lock,105,150,90,150,90,95
Regice,Ice,Clear Body,80,50,100,100,200,50
Regigigas,Normal,Slow Start,110,160,110,80,110,100
Regirock,Rock,Clear Body,80,100,200,50,100,50
Registeel,Steel,Clear Body,80,75,150,75,150,50
Relicanth,Water/Rock,"Rock Head, Swift Swim",100,90,130,45,65,55
Remoraid,Water,"Hustle, Sniper",35,65,35,65,35,65
Rhydon,Ground/Rock,"Lightning Rod, Rock Head",105,130,120,45,45,40
Rhyhorn,Ground/Rock,"Lightning Rod, Rock Head",80,85,95,30,30,25
Rhyperior,Ground/Rock,"Lightning Rod, Solid Rock",115,140,130,55,55,40
Riolu,Fighting,"Inner Focus, Steadfast",40,70,40,35,40,60
Roselia,Grass/Poison,"Natural Cure, Poison Point",50,60,45,100,80,65
Roserade,Grass/Poison,"Natural Cure, Poison Point",60,70,55,125,105,90
Rotom,Electric/Ghost,Levitate,50,50,77,95,77,91
Rotom-Fan,Electric/Ghost,Levitate,50,65,107,105,107,86
Rotom-Frost,Electric/Ghost,Levitate,50,65,107,105,107,86
Rotom-Heat,Electric/Ghost,Levitate,50,65,107,105,107,86
Rotom-Mow,Electric/Ghost,Levitate,50,65,107,105,107,86
Rotom-Wash,Electric/Ghost,Levitate,50,65,107,105,107,86
Sableye,Dark/Ghost,"Keen Eye, Stall",50,75,75,65,65,50
Salamence,Dragon/Flying,Intimidate,95,135,80,110,80,100
Sandshrew,Ground,Sand Veil,50,75,85,20,30,40
Sandslash,Ground,Sand Veil,75,100,110,45,55,65
Sceptile,Grass,Overgrow,70,85,65,105,85,120
Scizor,Bug/Steel,"Swarm, Technician",70,130,100,55,80,65
Scyther,Bug/Flying,"Swarm, Technician",70,110,80,55,80,105
Seadra,Water,"Poison Point, Sniper",55,65,95,95,45,85
Seaking,Water,"Swift Swim, Water Veil",80,92,65,65,80,68
Sealeo,Ice/Water,"Ice Body, Thick Fat",90,60,70,75,70,45
Seedot,Grass,"Chlorophyll, Early Bird",40,40,50,30,30,30
Seel,Water,"Hydration, Thick Fat",65,45,55,45,70,45
Sentret,Normal,"Keen Eye, Run Away",35,46,34,35,45,20
Seviper,Poison,Shed Skin,73,100,60,100,60,65
Sharpedo,Water/Dark,Rough Skin,70,120,40,95,40,95
Shaymin,Grass,Natural Cure,100,100,100,100,100,100
Shaymin-Sky,Grass/Flying,Serene Grace,100,103,75,120,75,127
Shedinja,Bug/Ghost,Wonder Guard,1,90,45,30,30,40
Shelgon,Dragon,Rock Head,65,95,100,60,50,50
Shellder,Water,"Shell Armor, Skill Link",30,65,100,45,25,40
Shellos,Water,"Sticky Hold, Storm Drain",76,48,48,57,62,34
Shieldon,Rock/Steel,Sturdy,30,42,118,42,88,30
Shiftry,Grass/Dark,"Chlorophyll, Early Bird",90,100,60,90,60,80
Shinx,Electric,"Intimidate, Rivalry",45,65,34,40,34,45
Shroomish,Grass,"Effect Spore, Poison Heal",60,40,60,40,60,35
Shuckle,Bug/Rock,"Gluttony, Sturdy",20,10,230,10,230,5
Shuppet,Ghost,"Frisk, Insomnia",44,75,35,63,33,45
Silcoon,Bug,Shed Skin,50,35,55,25,25,15
Skarmory,Steel/Flying,"Keen Eye, Sturdy",65,80,140,40,70,70
Skiploom,Grass/Flying,"Chlorophyll, Leaf Guard",55,45,50,45,65,80
Skitty,Normal,"Cute Charm, Normalize",50,45,45,35,35,50
Skorupi,Poison/Bug,"Battle Armor, Sniper",40,50,90,30,55,65
